p_val,avg_log2FC,pct.1,pct.2,p_val_adj,SYMBOL,ENTREZID,ENSEMBL
9.554698086089447e-90,-1.9479550268636532,0.013,0.047,1.1783809149574114e-85,APP,351,ENSG00000142192
1.642191125845778e-89,-0.24043997688413388,0.899,0.921,2.025314315505598e-85,FTL,2512,ENSG00000087086
1.4702297931058636e-87,-0.7708304290180259,0.179,0.26,1.8132344038374618e-83,TIMP1,7076,ENSG00000102265
2.3532789806156474e-87,-2.2133275108190764,0.007,0.033,2.9022989667932787e-83,BIRC5,332,ENSG00000089685
3.469452973823995e-85,-0.44151072558930626,0.342,0.438,4.278876352617134e-81,CBLB,868,ENSG00000114423
7.647838636537689e-85,-3.2541487634731787,0.003,0.024,9.43207939044193e-81,IL1B,3553,ENSG00000125538
3.1177866617609486e-84,-0.6337514773478583,0.137,0.213,3.845166289949778e-80,KIF13B,23303,ENSG00000197892
9.109131433951286e-84,-0.24112457559720424,0.77,0.812,1.123429179749212e-79,RPS16,6217,ENSG00000105193
6.375992308898645e-83,-2.321527337546088,0.005,0.028,7.8635113145647e-79,CCNB2,9133,ENSG00000157456
1.4488196855905643e-82,-3.4337238830028896,0.003,0.023,1.7868293182388432e-78,CLEC1B,51266,ENSG00000165682
4.667255944969302e-82,-0.19800017311425663,0.824,0.864,5.75612675693064e-78,RPS9,6203,ENSG00000170889
4.667255944969302e-82,-0.19800017311425663,0.824,0.864,5.75612675693064e-78,RPS9,6203,ENSG00000274646
4.667255944969302e-82,-0.19800017311425663,0.824,0.864,5.75612675693064e-78,RPS9,6203,ENSG00000278270
4.667255944969302e-82,-0.19800017311425663,0.824,0.864,5.75612675693064e-78,RPS9,6203,ENSG00000277359
4.667255944969302e-82,-0.19800017311425663,0.824,0.864,5.75612675693064e-78,RPS9,6203,ENSG00000278081
4.667255944969302e-82,-0.19800017311425663,0.824,0.864,5.75612675693064e-78,RPS9,6203,ENSG00000274005
4.667255944969302e-82,-0.19800017311425663,0.824,0.864,5.75612675693064e-78,RPS9,6203,ENSG00000274626
4.667255944969302e-82,-0.19800017311425663,0.824,0.864,5.75612675693064e-78,RPS9,6203,ENSG00000277079
4.667255944969302e-82,-0.19800017311425663,0.824,0.864,5.75612675693064e-78,RPS9,6203,ENSG00000275323
4.667255944969302e-82,-0.19800017311425663,0.824,0.864,5.75612675693064e-78,RPS9,6203,ENSG00000274950
8.935669888547103e-82,-2.458893303732134,0.005,0.029,1.1020361673545142e-77,CDC20,991,ENSG00000117399
6.665957322655012e-81,0.4458186239884858,0.539,0.468,8.221125166030426e-77,IER2,9592,ENSG00000160888
1.357943925278696e-80,-0.8842426147713399,0.066,0.123,1.6747522430462158e-76,PRDX3,10935,ENSG00000165672
3.8495413719793205e-80,-2.230466502967232,0.008,0.034,4.7476393740620953e-76,ZWINT,11130,ENSG00000122952
1.1064212638223101e-79,-2.6842420853406224,0.004,0.025,1.364549344672055e-75,STAB1,23166,ENSG00000010327
1.7213030344510663e-79,0.1673076747368185,0.938,0.927,2.1228830323885e-75,RPL6,6128,ENSG00000089009
2.382304866274525e-79,0.29234416335073865,0.756,0.703,2.938096591576371e-75,EMP3,2014,ENSG00000142227
5.399763587053063e-79,-1.2410485856016067,0.023,0.06,6.659528431912542e-75,HPGD,3248,ENSG00000164120
7.581357188616999e-79,-1.6869863112340382,0.009,0.035,9.350087820721343e-75,CDT1,81620,ENSG00000167513
1.306360938127637e-78,0.34263480948088,0.712,0.66,1.6111349449928147e-74,JUNB,3726,ENSG00000171223
7.909717998783557e-78,-2.174580374281664,0.007,0.031,9.755055207899761e-74,ARHGAP24,83478,ENSG00000138639
